code_nsf,code_scolarite,sigle_type_formation,libelle_type_formation,libelle_formation_principal,sigle_formation,duree,niveau_de_sortie_indicatif,code_rncp,niveau_de_certification,libelle_niveau_de_certification,tutelle,url_et_id_onisep,domainesous-domaine
336,32033607,BTS,brevet de technicien supérieur,BTS métiers de la coiffure,,2 ans,bac + 2,37963,3,niveau 5,Ministère chargé de l'Éducation nationale,https://www.onisep.fr/http/redirection/formation/slug/FOR.3766,"santé, social, sport/esthétique"
335,23633502,DESJEPS,"diplôme d'État supérieur de la jeunesse, de l'éducation populaire et du sport",DESJEPS spécialité performance sportive mention hockey,,2 ans,bac + 3,,2,niveau 6,Ministère chargé des sports,https://www.onisep.fr/http/redirection/formation/slug/FOR.10491,"santé, social, sport/sport"
312,,MSc,Master of Science,MSc International Marketing,,2 ans,bac + 5,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.9588,"commerce, marketing, vente/commerce international | commerce, marketing, vente/marketing, vente"
335,33633502,DEJEPS,"diplôme d'État de la jeunesse, de l'éducation populaire et du sport",DEJEPS spécialité perfectionnement sportif mention disciplines gymniques option B : disciplines gymniques d'expression,,2 ans,bac + 2,37571,3,niveau 5,Ministère chargé des sports,https://www.onisep.fr/http/redirection/formation/slug/FOR.8755,"santé, social, sport/sport"
326,,,formation d'école spécialisée,bachelor ingénierie informatique et électronique,,3 ans,bac + 3,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.1242,"informatique, Internet/développement, programmation, logiciel | électricité, électronique, robotique/électronique | informatique, Internet/informatique (généralités) | informatique, Internet/systèmes et réseaux"
200,,mastère spé.,mastère spécialisé,mastère spé. innovation et transformation,,1 an,bac + 6,37630,1,niveau 7,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.4569,"gestion des entreprises, comptabilité/administration de l'entreprise | matières premières, fabrication, industries/fonction production (généralités) | matières premières, fabrication, industries/méthodes industrialisation"
134,24132301,DN MADE,diplôme national des métiers d'art et du design,DN MADE mention spectacle,,3 ans,bac + 3,36953,2,niveau 6,Ministère de l'Enseignement supérieur et de la Recherche,https://www.onisep.fr/http/redirection/formation/slug/FOR.5503,"arts, culture, artisanat/arts appliqués | arts, culture, artisanat/arts du spectacle"
335,23633502,DESJEPS,"diplôme d'État supérieur de la jeunesse, de l'éducation populaire et du sport",DESJEPS spécialité performance sportive mention sports de contact option A : kick-boxing,,2 ans,bac + 3,36040,2,niveau 6,Ministère chargé des sports,https://www.onisep.fr/http/redirection/formation/slug/FOR.7133,"santé, social, sport/sport"
323,,,formation d'école spécialisée,diplôme de l'École nationale supérieure des métiers de l'image et du son (FEMIS) spécialité scripte,,3 ans,bac + 5,,1,niveau 7,Ministère de la Culture et de la communication,https://www.onisep.fr/http/redirection/formation/slug/FOR.5721,"information-communication, audiovisuel/audiovisuel"
128,,DU,diplôme d'université,DU administration territoriale,,1 an,bac + 2,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.9184,"économie, droit, politique/droit (généralités)"
335,20533510,,licence,licence mention sciences et techniques des activités physiques et sportives éducation et motricité,STAPS,3 ans,bac + 3,35972,2,niveau 6,Ministère de l'Enseignement supérieur et de la Recherche,https://www.onisep.fr/http/redirection/formation/slug/FOR.4832,"sciences/biologie | santé, social, sport/sport"
233,46X23304,,formation d'école spécialisée,solier / ière,,2 ans,bac ou équivalent,34700,4,niveau 4,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.9958,"construction, architecture, travaux publics/finition"
344,,,formation de fonctionnaires (après concours),policier adjoint,,1 an,autre formation,,0,non inscrit au RNCP,Ministère de l'Intérieur,https://www.onisep.fr/http/redirection/formation/slug/FOR.3535,"armée, sécurité/sécurité, prévention"
310,1353103H,,master,master mention management,,2 ans,bac + 5,35917,1,niveau 7,Ministère de l'Enseignement supérieur et de la Recherche,https://www.onisep.fr/http/redirection/formation/slug/FOR.4661,"gestion des entreprises, comptabilité/administration de l'entreprise"
331,16X33107,,formation d'école spécialisée,responsable en management et développement d'entreprise de santé,,2 ans,bac + 5,36699,1,niveau 7,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.9249,"gestion des entreprises, comptabilité/administration de l'entreprise | gestion des entreprises, comptabilité/comptabilité | santé, social, sport/médical | santé, social, sport/paramédical | gestion des entreprises, comptabilité/ressources humaines | santé, social, sport/santé (généralités) | gestion des entreprises, comptabilité/secrétariat | santé, social, sport/travail social"
343,36X20001,,formation d'école spécialisée,animateur qualité sécurité environnement (CESI),,3 ans,bac + 2,36480,3,niveau 5,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.7771,"environnement, énergies, propreté/environnement (généralités) | matières premières, fabrication, industries/maintenance, qualité | armée, sécurité/sécurité, prévention"
200,17020041,,diplôme d'ingénieur,diplôme d'ingénieur de l'École nationale supérieure d'ingénieurs de Bretagne-Sud de l'université de Bretagne-Sud spécialité génie industriel en partenariat avec IFRIA Ouest,ENSIBS,3 ans,bac + 5,35797,1,niveau 7,Ministère de l'Enseignement supérieur et de la Recherche,https://www.onisep.fr/http/redirection/formation/slug/FOR.6939,"mécanique/automatismes | matières premières, fabrication, industries/fonction production (généralités) | matières premières, fabrication, industries/génie industriel | matières premières, fabrication, industries/méthodes industrialisation | armée, sécurité/sécurité, prévention"
,,DU,diplôme d'université,DU métiers et concours de contrôleur de finances publiques,,1 an,bac + 1,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.10109,"économie, droit, politique/droit public | économie, droit, politique/sciences politiques"
253,,mastère spé.,mastère spécialisé,mastère spé. Aeronautical Operations and Maintenance,,1 an,bac + 6,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.3449,mécanique/aéronautique
252,,BTM,brevet technique des métiers,BTM mécanicien de matériels agricoles,,2 ans,bac ou équivalent,39889,4,niveau 4,Chambres de métiers et de l'artisanat,https://www.onisep.fr/http/redirection/formation/slug/FOR.10871,mécanique/machinisme agricole | mécanique/mécanique (généralités)
231,20523101,,licence,licence mention génie civil,,3 ans,bac + 3,38976,2,niveau 6,Ministère de l'Enseignement supérieur et de la Recherche,https://www.onisep.fr/http/redirection/formation/slug/FOR.10295,"construction, architecture, travaux publics/génie civil"
211,56T21101,TP,titre professionnel,TP ouvrier de production horticole,OPHO,1 an,CAP ou équivalent,36954,5,niveau 3,"Ministère du travail, de l'emploi et du dialogue social",https://www.onisep.fr/http/redirection/formation/slug/FOR.8208,"agriculture, animaux/cultures"
126,13512607,,master,"master mention archéologie, sciences pour l'archéologie",,2 ans,bac + 5,31490,1,niveau 7,Ministère de l'Enseignement supérieur et de la Recherche,https://www.onisep.fr/http/redirection/formation/slug/FOR.5162,"histoire-géographie, psychologie, sociologie/histoire"
254,32025412,BTS,brevet de technicien supérieur,BTS forge,,2 ans,bac + 2,37465,3,niveau 5,Ministère de l'Enseignement supérieur et de la Recherche,https://www.onisep.fr/http/redirection/formation/slug/FOR.577,"matières premières, fabrication, industries/matériaux | matières premières, fabrication, industries/métallurgie, sidérurgie | mécanique/travail des métaux"
220,,,diplôme d'ingénieur,diplôme d'ingénieur de Télécom Physique Strasbourg de l'université de Strasbourg,TPS,3 ans,bac + 5,38219,1,niveau 7,Ministère de l'Enseignement supérieur et de la Recherche,https://www.onisep.fr/http/redirection/formation/slug/FOR.5301,"mécanique/automatismes | informatique, Internet/bases de données | électricité, électronique, robotique/électronique | matières premières, fabrication, industries/matériaux | sciences/mathématiques | mécanique/mécanique (généralités) | sciences/physique | informatique, Internet/systèmes et réseaux | électricité, électronique, robotique/télécommunications"
310,1353103P,,master,master mention entrepreneuriat et management de projets,,2 ans,bac + 5,35922,1,niveau 7,Ministère de l'Enseignement supérieur et de la Recherche,https://www.onisep.fr/http/redirection/formation/slug/FOR.4993,"gestion des entreprises, comptabilité/administration de l'entreprise"
200,,mastère spé.,mastère spécialisé,mastère spé. manager de l'innovation et du développement d'activité (CESI - Arts et Métiers),,1 an,bac + 6,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.4269,"gestion des entreprises, comptabilité/administration de l'entreprise | matières premières, fabrication, industries/fonction production (généralités)"
335,33633502,DEJEPS,"diplôme d'État de la jeunesse, de l'éducation populaire et du sport",DEJEPS spécialité perfectionnement sportif mention sport automobile option B : karting,,2 ans,bac + 2,36786,3,niveau 5,Ministère chargé des sports,https://www.onisep.fr/http/redirection/formation/slug/FOR.7877,"santé, social, sport/sport"
332,56T33201,TP,titre professionnel,"TP agent de médiation, information, services",,1 an,CAP ou équivalent,37722,5,niveau 3,"Ministère du travail, de l'emploi et du dialogue social",https://www.onisep.fr/http/redirection/formation/slug/FOR.7589,"armée, sécurité/sécurité, prévention | santé, social, sport/travail social"
323,,,formation d'école spécialisée,photographie professionnelle,,2 ans,bac + 2,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.345,"information-communication, audiovisuel/audiovisuel"
326,,,formation d'école spécialisée,bachelor jeux vidéo,,3 ans,bac + 3,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.4467,"information-communication, audiovisuel/multimédia"
312 | 310 | 313,16531205,,diplôme d'école de commerce visé de niveau bac + 4 ou 5,diplôme du programme grande école de l'ESC Clermont BS,,3 ans,bac + 5,36567,1,niveau 7,Ministère de l'Enseignement supérieur et de la Recherche,https://www.onisep.fr/http/redirection/formation/slug/FOR.2176,"gestion des entreprises, comptabilité/administration de l'entreprise | gestion des entreprises, comptabilité/comptabilité | banque, assurances, immobilier/finances | commerce, marketing, vente/marketing, vente"
250,40025013,,baccalauréat professionnel,bac pro technicien en réalisation de produits mécaniques option réalisation et maintenance des outillages,TRPM,3 ans,bac ou équivalent,35697,4,niveau 4,Ministère chargé de l'Éducation nationale,https://www.onisep.fr/http/redirection/formation/slug/FOR.6849,"mécanique/mécanique (généralités) | matières premières, fabrication, industries/métallurgie, sidérurgie | mécanique/travail des métaux"
323,32132317,DMA,diplôme des métiers d'art,DMA régie de spectacle option son,,2 ans,bac + 2,4000,3,niveau 5,Ministère de l'Enseignement supérieur et de la Recherche,https://www.onisep.fr/http/redirection/formation/slug/FOR.5814,"arts, culture, artisanat/arts du spectacle | information-communication, audiovisuel/audiovisuel"
200,,mastère spé.,mastère spécialisé,mastère spé. Aeronautical and Space Structures,,1 an,bac + 6,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.3430,"mécanique/aéronautique | matières premières, fabrication, industries/génie industriel | sciences/physique"
130,13513005,,master,"master mention arts, lettres et civilisations",,2 ans,bac + 5,39789,1,niveau 7,Ministère de l'Enseignement supérieur et de la Recherche,https://www.onisep.fr/http/redirection/formation/slug/FOR.10729,"lettres, langues, enseignement/lettres, linguistique"
110,,CPI,cycle préparatoire intégré,"cycle préparatoire intégré (CPGE à parcours sécurisé ouvert, associées avec le Lycée Mongazon, implantées à l'ESEO,  programmes PCSI-PSI adaptés)",ESEO,2 ans,bac + 2,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.315,"mécanique/automatismes | sciences/chimie | électricité, électronique, robotique/électronique | électricité, électronique, robotique/électrotechnique | sciences/mathématiques | mécanique/mécanique (généralités) | sciences/physique | électricité, électronique, robotique/télécommunications"
314,25031440,,licence professionnelle,licence pro mention métiers de la gestion et de la comptabilité : gestion comptable et financière,,1 an,bac + 3,29776,2,niveau 6,Ministère de l'Enseignement supérieur et de la Recherche,https://www.onisep.fr/http/redirection/formation/slug/FOR.5083,"gestion des entreprises, comptabilité/administration de l'entreprise | gestion des entreprises, comptabilité/comptabilité"
133,,DNSP,diplôme national supérieur professionnel,diplôme national supérieur professionnel de musicien discipline chef d'ensemble instrumentaux ou vocaux,DNSPM,3 ans,bac + 3,37685,2,niveau 6,Ministère de la Culture et de la communication,https://www.onisep.fr/http/redirection/formation/slug/FOR.9711,"arts, culture, artisanat/arts du spectacle"
335,35533514,DEUST,diplôme d'études universitaires scientifiques et techniques,"DEUST action, commercialisation des services sportifs",,2 ans,bac + 2,35952,3,niveau 5,Ministère de l'Enseignement supérieur et de la Recherche,https://www.onisep.fr/http/redirection/formation/slug/FOR.3820,"commerce, marketing, vente/marketing, vente | santé, social, sport/sport"
320,,,formation d'école spécialisée,médias et communication,,1 an,bac + 5,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.4338,"information-communication, audiovisuel/communication | information-communication, audiovisuel/journalisme, édition, publicité | commerce, marketing, vente/marketing, vente"
326,,,formation d'école spécialisée,développeur jeu vidéo,,3 ans,bac + 3,37732,2,niveau 6,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.9130,"informatique, Internet/développement, programmation, logiciel | information-communication, audiovisuel/multimédia"
310,26031035,,diplôme d'école de commerce visé (bac + 3),"diplôme supérieur en marketing, commerce et gestion (EGC Lille)",,3 ans,bac + 3,38148,2,niveau 6,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.8799,"gestion des entreprises, comptabilité/administration de l'entreprise | commerce, marketing, vente/marketing, vente"
310,,MSc,Master of Science,MSc Digital Marketing and Omnichannel Strategy,,2 ans,bac + 5,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.8436,"gestion des entreprises, comptabilité/administration de l'entreprise | commerce, marketing, vente/marketing, vente"
312,26031218,,diplôme d'école de commerce visé (bac + 3),diplôme supérieur en marketing et communication,,3 ans,bac + 3,35998,2,niveau 6,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.7307,"information-communication, audiovisuel/communication | commerce, marketing, vente/marketing, vente"
131,,,formation d'école spécialisée,langue et culture française,,2 ans,bac + 5,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.4160,"lettres, langues, enseignement/langues"
234,40023407,,baccalauréat professionnel,bac pro technicien de fabrication bois et matériaux associés,,3 ans,bac ou équivalent,37308,4,niveau 4,Ministère chargé de l'Éducation nationale,https://www.onisep.fr/http/redirection/formation/slug/FOR.1038,"construction, architecture, travaux publics/agencement | matières premières, fabrication, industries/bois | construction, architecture, travaux publics/charpente, couverture | construction, architecture, travaux publics/menuiserie"
133,13513310,,master,"master mention métiers de l'enseignement, de l'éducation et de la formation - encadrement éducatif",MEEF,2 ans,bac + 5,38154,1,niveau 7,Ministère de l'Enseignement supérieur et de la Recherche,https://www.onisep.fr/http/redirection/formation/slug/FOR.9613,"lettres, langues, enseignement/enseignement"
335,,DESJEPS,"diplôme d'État supérieur de la jeunesse, de l'éducation populaire et du sport",DESJEPS spécialité performance sportive mention disciplines gymniques acrobatiques option E : gymnastique acrobatique,,2 ans,bac + 3,,2,niveau 6,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.10514,"santé, social, sport/sport"
313,16X31335,mastère spé.,mastère spécialisé,mastère spé. stratégies financières et investissements responsables,,1 an,bac + 6,36488,1,niveau 7,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.4428,"gestion des entreprises, comptabilité/administration de l'entreprise | banque, assurances, immobilier/finances"
221 | 210,,,diplôme d'ingénieur,"diplôme d'ingénieur de l'Institut Agro Montpellier de l'institut national d'enseignement sup pour l'agriculture, l'alimentation  spécialité agronomie et agroalimentaire",Institut Agro,3 ans,bac + 5,,1,niveau 7,Ministère de l'Agriculture et de la Souveraineté alimentaire,https://www.onisep.fr/http/redirection/formation/slug/FOR.9937,"agriculture, animaux/agriculture (généralités) | matières premières, fabrication, industries/agroalimentaire | agriculture, animaux/développement agricole | environnement, énergies, propreté/environnement (généralités) | matières premières, fabrication, industries/fonction production (généralités) | économie, droit, politique/sciences économiques | santé, social, sport/travail social"
335,33633502,DEJEPS,"diplôme d'État de la jeunesse, de l'éducation populaire et du sport",DEJEPS spécialité perfectionnement sportif mention tennis,,2 ans,bac + 2,37480,3,niveau 5,Ministère chargé des sports,https://www.onisep.fr/http/redirection/formation/slug/FOR.8870,"santé, social, sport/sport"
212,45321203,BP,brevet professionnel,BP éducateur canin,,2 ans,bac ou équivalent,37560,4,niveau 4,Ministère de l'Agriculture et de la Souveraineté alimentaire,https://www.onisep.fr/http/redirection/formation/slug/FOR.8614,"armée, sécurité/sécurité, prévention | agriculture, animaux/soins aux animaux"
332,32033206,BTS,brevet de technicien supérieur,BTS économie sociale et familiale,ESF,2 ans,bac + 2,36938,3,niveau 5,Ministère de l'Enseignement supérieur et de la Recherche,https://www.onisep.fr/http/redirection/formation/slug/FOR.7580,"santé, social, sport/travail social"
324,36T32401,TP,titre professionnel,TP assistant de direction,,1 an,bac + 2,38667,3,niveau 5,"Ministère du travail, de l'emploi et du dialogue social",https://www.onisep.fr/http/redirection/formation/slug/FOR.10469,"gestion des entreprises, comptabilité/secrétariat"
314,25031438,,licence professionnelle,licence pro mention métiers de la gestion et de la comptabilité : révision comptable,,1 an,bac + 3,29791,2,niveau 6,Ministère de l'Enseignement supérieur et de la Recherche,https://www.onisep.fr/http/redirection/formation/slug/FOR.5085,"gestion des entreprises, comptabilité/comptabilité"
251,32125101,DMA,diplôme des métiers d'art,DMA horlogerie,,2 ans,bac + 2,830,3,niveau 5,Ministère de l'Enseignement supérieur et de la Recherche,https://www.onisep.fr/http/redirection/formation/slug/FOR.785,"arts, culture, artisanat/artisanat d'art | mécanique/mécanique (généralités)"
344,,,préparation aux concours de la fonction publique,classe préparatoire talents du service public au concours d'officier de la police nationale,,1 an,bac + 3,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.2774,"armée, sécurité/sécurité, prévention"
201,17025116,,diplôme d'ingénieur,diplôme d'ingénieur de l'Institut national des sciences appliquées Hauts-de-France spécialité génie industriel,INSA,3 ans,bac + 5,39920,1,niveau 7,Ministère de l'Enseignement supérieur et de la Recherche,https://www.onisep.fr/http/redirection/formation/slug/FOR.5853,"mécanique/automatismes | environnement, énergies, propreté/déchets, pollutions et risques | environnement, énergies, propreté/environnement (généralités) | matières premières, fabrication, industries/fabrication, productique | matières premières, fabrication, industries/fonction production (généralités) | matières premières, fabrication, industries/génie industriel | informatique, Internet/informatique (généralités) | informatique, Internet/informatique industrielle et technologique | logistique, transport/logistique | matières premières, fabrication, industries/maintenance, qualité | mécanique/mécanique (généralités) | matières premières, fabrication, industries/méthodes industrialisation | armée, sécurité/sécurité, prévention | logistique, transport/transport"
232,50023224,CAP,certificat d'aptitude professionnelle,CAP maçon,,2 ans,CAP ou équivalent,35715,5,niveau 3,Ministère chargé de l'Éducation nationale,https://www.onisep.fr/http/redirection/formation/slug/FOR.7014,"construction, architecture, travaux publics/maçonnerie, béton armé"
344,,,diplôme professionnel de l'animation et du sport,brevet de surveillant de baignade,BSB,1 an,CAP ou équivalent,,5,niveau 3,Ministère chargé des sports,https://www.onisep.fr/http/redirection/formation/slug/FOR.1361,"santé, social, sport/paramédical | armée, sécurité/sécurité, prévention | santé, social, sport/sport"
314,,,formation d'école spécialisée,"comptabilité, contrôle et audit",,2 ans,bac + 5,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.8912,"gestion des entreprises, comptabilité/administration de l'entreprise | banque, assurances, immobilier/assurances | gestion des entreprises, comptabilité/comptabilité | économie, droit, politique/droit privé | banque, assurances, immobilier/finances"
312 | 326,,,formation d'école spécialisée,Master of Science Management of Artificial Intelligence,,1 an,bac + 5,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.9695,"gestion des entreprises, comptabilité/administration de l'entreprise | informatique, Internet/bases de données | informatique, Internet/informatique (généralités)"
314,25131401,BUT,bachelor universitaire de technologie,BUT gestion des entreprises et des administrations parcours contrôle de gestion et pilotage de la performance,GEA,3 ans,bac + 3,35378,2,niveau 6,Ministère de l'Enseignement supérieur et de la Recherche,https://www.onisep.fr/http/redirection/formation/slug/FOR.7884,"gestion des entreprises, comptabilité/administration de l'entreprise | gestion des entreprises, comptabilité/comptabilité | banque, assurances, immobilier/finances"
252,32025218,BTS,brevet de technicien supérieur,BTS maintenance des matériels de construction et de manutention,MMCM,2 ans,bac + 2,38577,3,niveau 5,Ministère de l'Enseignement supérieur et de la Recherche,https://www.onisep.fr/http/redirection/formation/slug/FOR.651,"mécanique/engins | construction, architecture, travaux publics/génie civil, construction (généralités) | matières premières, fabrication, industries/maintenance, qualité | mécanique/mécanique (généralités)"
312,,,formation d'école spécialisée,Master of Science Artificial Intelligence and Digital Technology Management,,1 an,bac + 5,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.8230,"gestion des entreprises, comptabilité/administration de l'entreprise | informatique, Internet/informatique (généralités)"
133,,,formation d'école spécialisée,formation du danseur,,1 an,autre formation,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.3926,"arts, culture, artisanat/arts du spectacle"
313,26X31316,,formation d'école spécialisée,conseiller patrimonial,,1 an,bac + 3,37863,2,niveau 6,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.9181,"banque, assurances, immobilier/banque"
312,50024132,CAP,certificat d'aptitude professionnelle,CAP fleuriste de mode,,2 ans,CAP ou équivalent,39035,5,niveau 3,Ministère chargé de l'Éducation nationale,https://www.onisep.fr/http/redirection/formation/slug/FOR.9917,"arts, culture, artisanat/artisanat d'art | arts, culture, artisanat/arts graphiques | matières premières, fabrication, industries/textile, habillement"
134,,,formation d'école spécialisée,direction artistique,,2 ans,bac + 5,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.9409,"arts, culture, artisanat/arts graphiques"
,,CPI,cycle préparatoire intégré,cycle préparatoire intégré de l'Icam Grand Paris Sud - La prépa scientifique (prépa associée à un lycée partenaire) PTSI-PT,ICAM,2 ans,bac + 2,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.9577,"matières premières, fabrication, industries/génie industriel | informatique, Internet/informatique (généralités) | sciences/mathématiques | sciences/physique"
326,17032616,,diplôme d'ingénieur,diplôme d'ingénieur de l'École polytechnique universitaire de l'université Côte d'Azur spécialité informatique,Polytech,3 ans,bac + 5,38325,1,niveau 7,Ministère de l'Enseignement supérieur et de la Recherche,https://www.onisep.fr/http/redirection/formation/slug/FOR.5806,"arts, culture, artisanat/arts graphiques | banque, assurances, immobilier/banque | informatique, Internet/bases de données | informatique, Internet/développement, programmation, logiciel | électricité, électronique, robotique/électronique | banque, assurances, immobilier/finances | informatique, Internet/informatique (généralités) | informatique, Internet/informatique industrielle et technologique | informatique, Internet/informatique pour la recherche | sciences/mathématiques | information-communication, audiovisuel/multimédia | informatique, Internet/systèmes et réseaux | électricité, électronique, robotique/télécommunications"
313,35531301,DEUST,diplôme d'études universitaires scientifiques et techniques,"DEUST finance, administration, comptabilité",,2 ans,bac + 2,3976,3,niveau 5,Ministère de l'Enseignement supérieur et de la Recherche,https://www.onisep.fr/http/redirection/formation/slug/FOR.10537,"gestion des entreprises, comptabilité/administration de l'entreprise | gestion des entreprises, comptabilité/comptabilité | banque, assurances, immobilier/finances | gestion des entreprises, comptabilité/secrétariat"
323,,,formation d'école spécialisée,diplôme des hautes études cinématographiques,DHEC,2 ans,bac + 5,38742,1,niveau 7,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.9930,"information-communication, audiovisuel/audiovisuel"
343,,mastère spé.,mastère spécialisé,mastère spé. hydraulique,,1 an,bac + 6,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.1691,"environnement, énergies, propreté/énergies | environnement, énergies, propreté/environnement (généralités) | environnement, énergies, propreté/gestion de l'eau"
221,36322101,CS,certificat de spécialisation (agriculture),CS spécialiste en gestion et promotion de la qualité des produits de la filière lait,GESQUAL,1 an,bac + 3,,3,niveau 5,Ministère de l'Agriculture et de la Souveraineté alimentaire,https://www.onisep.fr/http/redirection/formation/slug/FOR.856,"matières premières, fabrication, industries/agroalimentaire"
,,,formation d'école spécialisée,bachelor mutations technologiques et industrielles spécialité infrastructures des réseaux électriques,INSA Lyon,3 ans,bac + 3,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.10866,"électricité, électronique, robotique/électrotechnique | matières premières, fabrication, industries/fonction production (généralités) | matières premières, fabrication, industries/méthodes industrialisation"
320,,,formation d'école spécialisée,communication digitale,,1 an,bac + 5,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.2208,"information-communication, audiovisuel/communication | information-communication, audiovisuel/multimédia"
200,17020008,,diplôme d'ingénieur,diplôme d'ingénieur du CNAM spécialité génie industriel en partenariat avec l'ITII Normandie,EICnam,3 ans,bac + 5,39130,1,niveau 7,Ministère chargé de l'Éducation nationale,https://www.onisep.fr/http/redirection/formation/slug/FOR.10679,"environnement, énergies, propreté/énergies | matières premières, fabrication, industries/génie industriel | matières premières, fabrication, industries/maintenance, qualité | matières premières, fabrication, industries/méthodes industrialisation"
133,,,formation d'école spécialisée,formation supérieure en cinéma et audiovisuel - prépa Ciné-Sup,,2 ans,bac + 2,,3,niveau 5,Ministère de l'Enseignement supérieur et de la Recherche,https://www.onisep.fr/http/redirection/formation/slug/FOR.3314,"information-communication, audiovisuel/audiovisuel"
312,26531018,,diplôme d'école de commerce visé (bac + 3),bachelor en sciences du management - digital et Business international,,3 ans,bac + 3,39157,2,niveau 6,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.9358,"commerce, marketing, vente/commerce international | commerce, marketing, vente/grande distribution et petits commerces"
313,26X31322,,formation d'école spécialisée,conseiller bancaire clientèle de professionnels,,2 ans,bac + 3,36931,2,niveau 6,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.8610,"banque, assurances, immobilier/banque | banque, assurances, immobilier/finances"
,,,préparation aux concours de la fonction publique,préparation aux concours des relations extérieures  - concours externes,PCRE,1 an,bac + 4,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.9683,"économie, droit, politique/sciences politiques | armée, sécurité/sécurité, prévention"
340,13534402,,master,master mention intelligence économique,,2 ans,bac + 5,38355,1,niveau 7,Ministère de l'Enseignement supérieur et de la Recherche,https://www.onisep.fr/http/redirection/formation/slug/FOR.9727,"information-communication, audiovisuel/bibliothèque, documentation"
312,46T3120A,TP,titre professionnel,TP assistant manager d'unité marchande,,1 an,bac ou équivalent,35233,4,niveau 4,"Ministère du travail, de l'emploi et du dialogue social",https://www.onisep.fr/http/redirection/formation/slug/FOR.7035,"commerce, marketing, vente/grande distribution et petits commerces | commerce, marketing, vente/marketing, vente"
326,,,formation d'école spécialisée,bachelor animation 3D jeux vidéo,,3 ans,bac + 3,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.2495,"arts, culture, artisanat/arts graphiques | information-communication, audiovisuel/multimédia"
311,,,formation d'école spécialisée,Master's degree International Air Transport Operations Management,,2 ans,bac + 5,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.1189,"logistique, transport/transport"
334,32033425,BTS,brevet de technicien supérieur,BTS management en hôtellerie restauration option C management d'unité d'hébergement,MHR,2 ans,bac + 2,37889,3,niveau 5,Ministère de l'Enseignement supérieur et de la Recherche,https://www.onisep.fr/http/redirection/formation/slug/FOR.5861,"hôtellerie-restauration, tourisme/hôtellerie"
