code_nsf,code_scolarite,sigle_type_formation,libelle_type_formation,libelle_formation_principal,sigle_formation,duree,niveau_de_sortie_indicatif,code_rncp,niveau_de_certification,libelle_niveau_de_certification,tutelle,url_et_id_onisep,domainesous-domaine
,,mastère spé.,mastère spécialisé,mastère spé. TEC XX : transformation écologique des constructions du XXè siècle,,1 an,bac + 6,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.10608,"construction, architecture, travaux publics/architecture | environnement, énergies, propreté/énergies | environnement, énergies, propreté/environnement (généralités) | construction, architecture, travaux publics/équipement technique | construction, architecture, travaux publics/génie civil, construction (généralités) | santé, social, sport/travail social"
133,,,classe de mise à niveau post bac,année préparatoire supérieure au DNSP artiste de cirque,,1 an,bac + 1,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.4419,"arts, culture, artisanat/arts du spectacle"
110,,CPGE,classe préparatoire scientifique et technologique,"classe préparatoire physique et technologie (PT), 2e année",,1 an,bac + 2,,0,non inscrit au RNCP,Ministère de l'Enseignement supérieur et de la Recherche,https://www.onisep.fr/http/redirection/formation/slug/FOR.1343,"mécanique/automatismes | électricité, électronique, robotique/électronique | électricité, électronique, robotique/électrotechnique | mécanique/mécanique (généralités) | sciences/physique | électricité, électronique, robotique/télécommunications"
255,1702550R,,diplôme d'ingénieur,diplôme d'ingénieur de l'École polytechnique universitaire de l'université Paris-Saclay spécialité électronique,Polytech,3 ans,bac + 5,38847,1,niveau 7,Ministère de l'Enseignement supérieur et de la Recherche,https://www.onisep.fr/http/redirection/formation/slug/FOR.8303,"mécanique/aéronautique | mécanique/automatismes | informatique, Internet/développement, programmation, logiciel | électricité, électronique, robotique/électronique | électricité, électronique, robotique/électrotechnique | environnement, énergies, propreté/énergies | informatique, Internet/informatique industrielle et technologique"
133,,,classe de mise à niveau post bac,année préparatoire cinéma d'animation,,1 an,bac + 1,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.3091,"arts, culture, artisanat/arts graphiques"
323,,,formation d'école spécialisée,montage vidéo effets spéciaux,,1 an,bac + 1,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.4507,"information-communication, audiovisuel/audiovisuel"
323,,,formation d'école spécialisée,concepteur artistique - réalisateur en cinéma d'animation,,2 ans,bac + 5,37770,1,niveau 7,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.9125,"arts, culture, artisanat/arts graphiques | information-communication, audiovisuel/audiovisuel"
310,,,formation d'école spécialisée,Master of Science Data Science and Organisational Behaviour,,1 an,bac + 5,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.1630,"gestion des entreprises, comptabilité/administration de l'entreprise | informatique, Internet/bases de données"
311,36T3110D,TP,titre professionnel,TP gestionnaire des opérations de transport routier de marchandises,,1 an,bac + 2,34881,3,niveau 5,"Ministère du travail, de l'emploi et du dialogue social",https://www.onisep.fr/http/redirection/formation/slug/FOR.2671,"logistique, transport/logistique | logistique, transport/transport"
310,16X31059,mastère spé.,mastère spécialisé,mastère spé. management global des achats et de la Supply Chain,MASC,1 an,bac + 6,36391,1,niveau 7,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.7615,"commerce, marketing, vente/achat, approvisionnement | logistique, transport/logistique"
